日付,チャネル,SKU,商品名,カテゴリ,数量,単価,売上
2025-07-03,Amazon,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-03,楽天,APP-005,ウールニットカーディガン,アパレル,2,8980,17960
2025-07-03,楽天,FOO-005,クラフトチョコレート 4種セット,食品,2,3680,7360
2025-07-03,Amazon,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-03,Shopify,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-03,Amazon,ZAK-005,木製カッティングボード,雑貨,1,3980,3980
2025-07-04,楽天,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-04,楽天,FOO-002,国産はちみつ 250g,食品,2,2480,4960
2025-07-04,楽天,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-04,Shopify,APP-003,リネンシャツ Mサイズ,アパレル,1,5980,5980
2025-07-04,楽天,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-04,楽天,FOO-004,ドライフルーツミックス 150g,食品,1,1280,1280
2025-07-04,Shopify,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-04,Amazon,FOO-006,オリーブオイル EXV 250ml,食品,1,2682,2682
2025-07-04,楽天,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-04,Amazon,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-04,Amazon,APP-003,リネンシャツ Mサイズ,アパレル,1,5980,5980
2025-07-04,楽天,ZAK-004,アロマキャンドル ラベンダー,雑貨,2,1980,3960
2025-07-05,Shopify,ZAK-005,木製カッティングボード,雑貨,1,3980,3980
2025-07-05,Amazon,ZAK-002,本革ミニ財布,雑貨,1,6800,6800
2025-07-05,Amazon,FOO-008,燻製ナッツアソート 200g,食品,1,1880,1880
2025-07-05,Shopify,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-05,楽天,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-05,楽天,ZAK-005,木製カッティングボード,雑貨,2,3980,7960
2025-07-05,Amazon,ZAK-005,木製カッティングボード,雑貨,2,3980,7960
2025-07-05,楽天,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-05,Amazon,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-05,楽天,APP-005,ウールニットカーディガン,アパレル,1,8980,8980
2025-07-05,楽天,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-05,楽天,ZAK-004,アロマキャンドル ラベンダー,雑貨,2,1782,3564
2025-07-06,Amazon,APP-005,ウールニットカーディガン,アパレル,1,8980,8980
2025-07-06,Shopify,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-06,Amazon,FOO-005,クラフトチョコレート 4種セット,食品,1,3312,3312
2025-07-06,Amazon,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-06,Amazon,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-06,Shopify,ZAK-005,木製カッティングボード,雑貨,1,3980,3980
2025-07-06,楽天,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-06,楽天,FOO-007,国産味噌 500g,食品,1,1332,1332
2025-07-06,Amazon,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-06,Amazon,ZAK-002,本革ミニ財布,雑貨,2,6800,13600
2025-07-06,Shopify,FOO-008,燻製ナッツアソート 200g,食品,2,1880,3760
2025-07-06,楽天,ZAK-006,ステンレスタンブラー 350ml,雑貨,2,2280,4560
2025-07-06,楽天,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3480,3480
2025-07-06,Shopify,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-06,Amazon,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-06,Amazon,FOO-001,シングルオリジンコーヒー豆 200g,食品,2,1980,3960
2025-07-07,Shopify,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,2,2980,5960
2025-07-07,Shopify,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-07,楽天,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-07,Shopify,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1782,1782
2025-07-07,Amazon,ZAK-001,帆布トートバッグ Mサイズ,雑貨,2,3480,6960
2025-07-07,楽天,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-07,楽天,FOO-008,燻製ナッツアソート 200g,食品,1,1880,1880
2025-07-07,Shopify,APP-005,ウールニットカーディガン,アパレル,1,8980,8980
2025-07-08,Shopify,FOO-004,ドライフルーツミックス 150g,食品,1,1280,1280
2025-07-08,Amazon,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-08,Amazon,FOO-001,シングルオリジンコーヒー豆 200g,食品,3,1980,5940
2025-07-08,Shopify,ZAK-004,アロマキャンドル ラベンダー,雑貨,2,1683,3366
2025-07-08,楽天,ZAK-006,ステンレスタンブラー 350ml,雑貨,2,1938,3876
2025-07-08,楽天,FOO-003,有機紅茶アソート 20袋,食品,1,1428,1428
2025-07-08,Amazon,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3480,3480
2025-07-08,Amazon,ZAK-005,木製カッティングボード,雑貨,2,3980,7960
2025-07-08,Amazon,FOO-008,燻製ナッツアソート 200g,食品,2,1880,3760
2025-07-08,Shopify,ZAK-002,本革ミニ財布,雑貨,1,6800,6800
2025-07-08,楽天,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1782,1782
2025-07-08,楽天,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-08,Shopify,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1428,1428
2025-07-08,Amazon,FOO-001,シングルオリジンコーヒー豆 200g,食品,2,1980,3960
2025-07-08,Shopify,ZAK-007,リネンキッチンクロス 3枚組,雑貨,2,1680,3360
2025-07-08,楽天,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3480,3480
2025-07-08,Amazon,APP-004,デニムワイドパンツ,アパレル,1,7980,7980
2025-07-08,Shopify,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-08,Shopify,APP-003,リネンシャツ Mサイズ,アパレル,1,5980,5980
2025-07-08,楽天,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,1,2533,2533
2025-07-09,楽天,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-09,楽天,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-09,Shopify,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-09,楽天,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,1,2980,2980
2025-07-09,Amazon,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,2,2980,5960
2025-07-09,Shopify,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-09,Shopify,ZAK-005,木製カッティングボード,雑貨,1,3980,3980
2025-07-09,Shopify,FOO-008,燻製ナッツアソート 200g,食品,1,1880,1880
2025-07-10,Amazon,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-10,楽天,ZAK-005,木製カッティングボード,雑貨,2,3980,7960
2025-07-10,Shopify,ZAK-002,本革ミニ財布,雑貨,1,6120,6120
2025-07-10,Shopify,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-10,Amazon,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,2,2980,5960
2025-07-10,Amazon,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3480,3480
2025-07-10,Shopify,APP-003,リネンシャツ Mサイズ,アパレル,1,5980,5980
2025-07-10,Amazon,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-10,楽天,ZAK-005,木製カッティングボード,雑貨,2,3980,7960
2025-07-10,Shopify,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-10,Amazon,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-10,楽天,ZAK-001,帆布トートバッグ Mサイズ,雑貨,2,3480,6960
2025-07-10,Amazon,FOO-005,クラフトチョコレート 4種セット,食品,1,3680,3680
2025-07-10,Shopify,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-10,Amazon,FOO-006,オリーブオイル EXV 250ml,食品,1,2682,2682
2025-07-10,Shopify,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,2958,2958
2025-07-10,楽天,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-11,Shopify,ZAK-006,ステンレスタンブラー 350ml,雑貨,2,2052,4104
2025-07-11,楽天,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-11,楽天,ZAK-002,本革ミニ財布,雑貨,1,6800,6800
2025-07-11,Amazon,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-11,Amazon,ZAK-002,本革ミニ財布,雑貨,2,6800,13600
2025-07-11,Shopify,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-11,Shopify,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1512,1512
2025-07-11,Shopify,APP-005,ウールニットカーディガン,アパレル,1,8980,8980
2025-07-11,Shopify,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-11,Shopify,APP-005,ウールニットカーディガン,アパレル,2,8082,16164
2025-07-11,Shopify,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-11,Shopify,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-11,Amazon,ZAK-002,本革ミニ財布,雑貨,1,6800,6800
2025-07-11,Shopify,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-11,Shopify,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1683,1683
2025-07-11,Amazon,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-11,Amazon,ZAK-002,本革ミニ財布,雑貨,2,6800,13600
2025-07-11,Amazon,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-11,Shopify,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-12,楽天,ZAK-003,陶器マグカップ 2個セット,雑貨,2,2108,4216
2025-07-12,Amazon,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-12,Shopify,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,1938,1938
2025-07-12,Shopify,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3480,3480
2025-07-12,Amazon,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-12,Shopify,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,1,2980,2980
2025-07-12,Amazon,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1512,1512
2025-07-12,Amazon,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-12,楽天,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-12,Amazon,APP-003,リネンシャツ Mサイズ,アパレル,2,5083,10166
2025-07-12,楽天,ZAK-002,本革ミニ財布,雑貨,3,6120,18360
2025-07-12,楽天,FOO-008,燻製ナッツアソート 200g,食品,1,1880,1880
2025-07-12,楽天,FOO-007,国産味噌 500g,食品,2,1480,2960
2025-07-12,楽天,ZAK-005,木製カッティングボード,雑貨,1,3980,3980
2025-07-12,楽天,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-12,楽天,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-13,楽天,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-13,Shopify,FOO-005,クラフトチョコレート 4種セット,食品,2,3680,7360
2025-07-13,Shopify,APP-004,デニムワイドパンツ,アパレル,1,7980,7980
2025-07-13,楽天,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-13,Shopify,ZAK-006,ステンレスタンブラー 350ml,雑貨,2,2280,4560
2025-07-13,楽天,ZAK-003,陶器マグカップ 2個セット,雑貨,2,2480,4960
2025-07-13,Shopify,FOO-008,燻製ナッツアソート 200g,食品,1,1880,1880
2025-07-13,Shopify,ZAK-001,帆布トートバッグ Mサイズ,雑貨,2,3480,6960
2025-07-13,Amazon,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1782,1782
2025-07-13,楽天,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3132,3132
2025-07-13,楽天,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,2,2980,5960
2025-07-13,楽天,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-13,Amazon,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,1,2980,2980
2025-07-13,Amazon,FOO-004,ドライフルーツミックス 150g,食品,1,1280,1280
2025-07-13,Shopify,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-14,楽天,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-14,Amazon,ZAK-003,陶器マグカップ 2個セット,雑貨,2,2480,4960
2025-07-14,Amazon,FOO-008,燻製ナッツアソート 200g,食品,1,1880,1880
2025-07-14,Shopify,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3480,3480
2025-07-14,Amazon,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-14,楽天,FOO-005,クラフトチョコレート 4種セット,食品,1,3312,3312
2025-07-14,楽天,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-14,Amazon,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3480,3480
2025-07-14,Shopify,FOO-004,ドライフルーツミックス 150g,食品,2,1280,2560
2025-07-14,Amazon,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-14,楽天,APP-004,デニムワイドパンツ,アパレル,1,7980,7980
2025-07-14,Amazon,ZAK-007,リネンキッチンクロス 3枚組,雑貨,2,1680,3360
2025-07-14,楽天,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-14,Shopify,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-14,Amazon,APP-003,リネンシャツ Mサイズ,アパレル,1,5980,5980
2025-07-14,Amazon,FOO-005,クラフトチョコレート 4種セット,食品,1,3128,3128
2025-07-15,Shopify,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-15,楽天,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-15,楽天,ZAK-005,木製カッティングボード,雑貨,1,3980,3980
2025-07-15,Shopify,FOO-004,ドライフルーツミックス 150g,食品,1,1280,1280
2025-07-15,Amazon,ZAK-006,ステンレスタンブラー 350ml,雑貨,2,1938,3876
2025-07-15,Shopify,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-15,楽天,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-15,楽天,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2232,2232
2025-07-15,Shopify,APP-004,デニムワイドパンツ,アパレル,1,7980,7980
2025-07-15,楽天,FOO-002,国産はちみつ 250g,食品,2,2480,4960
2025-07-15,Amazon,FOO-008,燻製ナッツアソート 200g,食品,1,1880,1880
2025-07-15,Shopify,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-15,楽天,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,1,2980,2980
2025-07-15,Shopify,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-15,楽天,APP-004,デニムワイドパンツ,アパレル,1,7980,7980
2025-07-15,Shopify,APP-003,リネンシャツ Mサイズ,アパレル,2,5980,11960
2025-07-15,楽天,ZAK-002,本革ミニ財布,雑貨,1,6120,6120
2025-07-15,Shopify,ZAK-005,木製カッティングボード,雑貨,1,3980,3980
2025-07-15,楽天,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-15,楽天,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-16,Amazon,ZAK-002,本革ミニ財布,雑貨,1,6800,6800
2025-07-16,Shopify,APP-004,デニムワイドパンツ,アパレル,2,7980,15960
2025-07-16,楽天,APP-003,リネンシャツ Mサイズ,アパレル,1,5980,5980
2025-07-16,楽天,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-16,Shopify,APP-005,ウールニットカーディガン,アパレル,2,8980,17960
2025-07-16,Shopify,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-16,Amazon,ZAK-006,ステンレスタンブラー 350ml,雑貨,2,2280,4560
2025-07-16,楽天,ZAK-002,本革ミニ財布,雑貨,1,6800,6800
2025-07-16,楽天,APP-003,リネンシャツ Mサイズ,アパレル,1,5980,5980
2025-07-16,楽天,FOO-001,シングルオリジンコーヒー豆 200g,食品,2,1980,3960
2025-07-16,Amazon,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,1,2980,2980
2025-07-16,Amazon,FOO-002,国産はちみつ 250g,食品,1,2108,2108
2025-07-16,Amazon,FOO-008,燻製ナッツアソート 200g,食品,2,1880,3760
2025-07-16,Shopify,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3480,3480
2025-07-16,楽天,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-17,楽天,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-17,Amazon,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-17,Shopify,FOO-005,クラフトチョコレート 4種セット,食品,1,3680,3680
2025-07-17,楽天,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-17,楽天,FOO-004,ドライフルーツミックス 150g,食品,1,1280,1280
2025-07-17,Shopify,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-17,Amazon,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-17,Shopify,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-17,Amazon,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3132,3132
2025-07-18,Shopify,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-18,楽天,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-18,Amazon,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-18,Amazon,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,2,2980,5960
2025-07-18,Shopify,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,1,2980,2980
2025-07-18,Shopify,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-18,楽天,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-18,楽天,FOO-005,クラフトチョコレート 4種セット,食品,1,3680,3680
2025-07-18,楽天,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-18,Shopify,FOO-007,国産味噌 500g,食品,1,1332,1332
2025-07-18,Amazon,APP-005,ウールニットカーディガン,アパレル,1,8980,8980
2025-07-18,Amazon,FOO-004,ドライフルーツミックス 150g,食品,2,1280,2560
2025-07-18,Amazon,ZAK-006,ステンレスタンブラー 350ml,雑貨,2,2280,4560
2025-07-18,Amazon,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-18,Amazon,APP-004,デニムワイドパンツ,アパレル,1,7980,7980
2025-07-18,楽天,ZAK-007,リネンキッチンクロス 3枚組,雑貨,2,1680,3360
2025-07-19,楽天,ZAK-003,陶器マグカップ 2個セット,雑貨,2,2480,4960
2025-07-19,Amazon,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-19,楽天,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-19,楽天,APP-004,デニムワイドパンツ,アパレル,1,7980,7980
2025-07-19,Shopify,ZAK-005,木製カッティングボード,雑貨,1,3980,3980
2025-07-19,楽天,ZAK-005,木製カッティングボード,雑貨,1,3980,3980
2025-07-19,Amazon,FOO-004,ドライフルーツミックス 150g,食品,1,1280,1280
2025-07-19,楽天,APP-004,デニムワイドパンツ,アパレル,2,7980,15960
2025-07-19,楽天,FOO-007,国産味噌 500g,食品,1,1258,1258
2025-07-19,Amazon,ZAK-002,本革ミニ財布,雑貨,1,6800,6800
2025-07-19,楽天,APP-003,リネンシャツ Mサイズ,アパレル,2,5980,11960
2025-07-20,Amazon,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3480,3480
2025-07-20,楽天,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-20,Amazon,APP-001,オーガニックコットンTシャツ ホワイト,アパレル,1,2980,2980
2025-07-20,Shopify,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,2280,2280
2025-07-20,Amazon,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3132,3132
2025-07-20,Shopify,FOO-007,国産味噌 500g,食品,2,1480,2960
2025-07-20,Shopify,APP-003,リネンシャツ Mサイズ,アパレル,1,5980,5980
2025-07-20,Amazon,ZAK-003,陶器マグカップ 2個セット,雑貨,2,2108,4216
2025-07-20,Shopify,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-20,楽天,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1683,1683
2025-07-21,楽天,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-21,Shopify,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-21,Shopify,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-21,Amazon,FOO-007,国産味噌 500g,食品,1,1480,1480
2025-07-21,Amazon,FOO-005,クラフトチョコレート 4種セット,食品,1,3128,3128
2025-07-21,Shopify,ZAK-001,帆布トートバッグ Mサイズ,雑貨,1,3480,3480
2025-07-21,Amazon,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-21,楽天,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-21,Amazon,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,1,2980,2980
2025-07-21,Amazon,FOO-001,シングルオリジンコーヒー豆 200g,食品,1,1980,1980
2025-07-22,Amazon,APP-004,デニムワイドパンツ,アパレル,1,7980,7980
2025-07-22,Amazon,ZAK-004,アロマキャンドル ラベンダー,雑貨,1,1980,1980
2025-07-22,楽天,FOO-008,燻製ナッツアソート 200g,食品,1,1880,1880
2025-07-22,Shopify,FOO-003,有機紅茶アソート 20袋,食品,2,1680,3360
2025-07-22,Amazon,FOO-005,クラフトチョコレート 4種セット,食品,1,3680,3680
2025-07-22,Amazon,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-22,楽天,ZAK-003,陶器マグカップ 2個セット,雑貨,1,2480,2480
2025-07-22,楽天,FOO-005,クラフトチョコレート 4種セット,食品,1,3680,3680
2025-07-23,楽天,ZAK-006,ステンレスタンブラー 350ml,雑貨,1,1938,1938
2025-07-23,Amazon,FOO-002,国産はちみつ 250g,食品,1,2480,2480
2025-07-23,楽天,ZAK-005,木製カッティングボード,雑貨,1,3980,3980
2025-07-23,Shopify,ZAK-007,リネンキッチンクロス 3枚組,雑貨,1,1680,1680
2025-07-23,楽天,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-23,Shopify,FOO-001,シングルオリジンコーヒー豆 200g,食品,2,1980,3960
2025-07-23,楽天,APP-005,ウールニットカーディガン,アパレル,2,8980,17960
2025-07-23,Shopify,APP-002,オーガニックコットンTシャツ ネイビー,アパレル,2,2533,5066
2025-07-23,Shopify,FOO-006,オリーブオイル EXV 250ml,食品,1,2980,2980
2025-07-23,Amazon,FOO-003,有機紅茶アソート 20袋,食品,1,1680,1680
2025-07-23,楽天,ZAK-002,本革ミニ財布,雑貨,1,6120,6120
2025-07-23,Shopify,FOO-004,ドライフルーツミックス 150g,食品,1,1280,1280
2025-07-23,楽天,APP-005,ウールニットカーディガン,アパレル,1,8980,8980
2025-07-23,Shopify,FOO-001,シングルオリジンコーヒー豆 200g,食品,3,1980,5940
